line_name,YUMM 3.2 pten -/- ; HA-AKT1-E17K,YUMM 3.2 pten -/- ; HA-FAK-K454R,YUMM 3.2 pten -/- ; HA-FAK-Y394E,YUMM 3.2 pten -/- ; HA-FAK (wt),YUMM 3.2 pten -/- ; HA-ndel-FAK
YUMM 3.2 pten -/- ; HA-FAK-K454R,0.3249072204623079,NA,NA,NA,NA
YUMM 3.2 pten -/- ; HA-FAK-Y394E,0.18365133591429153,0.7198764489272163,NA,NA,NA
YUMM 3.2 pten -/- ; HA-FAK (wt),0.427301601165884,0.8453808001149271,0.580598246604314,NA,NA
YUMM 3.2 pten -/- ; HA-ndel-FAK,0.6028757888311895,0.6375365658673203,0.4089664903524467,0.7818768496356971,NA
YUMM 3.2 pten -/- ; Parental,0.9061155575519858,0.41486271532475094,0.2878908412879359,0.4967172938265866,0.6271833479375868
