line_name,abs_mean,sd,n,se
YUMM 3.2 pten -/- ; HA-AKT1-E17K,0.13216666666666668,0.09247143703147835,6,0.037751306084837795
YUMM 3.2 pten -/- ; HA-FAK (wt),0.22633333333333336,0.20265306971932764,6,0.08273276927016956
YUMM 3.2 pten -/- ; HA-FAK-K454R,0.24933333333333332,0.2588286434432377,6,0.10566635120878254
YUMM 3.2 pten -/- ; HA-FAK-Y394E,0.2916666666666667,0.28771003921772814,6,0.11745713165992851
YUMM 3.2 pten -/- ; HA-ndel-FAK,0.19366666666666668,0.11478443564641796,6,0.04686054962450944
YUMM 3.2 pten -/- ; Parental,0.11250000000000002,0.026162950903902252,2,0.018499999999999996
