line_name,sample_id,Live Cells,Live CD45,xT Cell,tcell_% Live,tcell_% Live CD45,xCD4,cd4_% Live,cd4_% Live CD45,cd4_% T Cell,xCD4 PD1+,cd4-pd1_% Live,cd4-pd1_% Live CD45,cd4-pd1_% T Cell,cd4-pd1_% CD4,xCD8,cd8_% Live,cd8_% Live CD45,cd8_% T Cell,xCD8 PD1,cd8-pd1_% Live,cd8-pd1_% Live CD45,cd8-pd1_% T Cell,cd8-pd1_% CD8
akt1,34860-00,611471,92541,406,0.066397262,0.438724457,287,0.046935995,0.310132806,70.68965517,176,0.028783049,0.190185972,43.34975369,61.32404181,32,0.005233282,0.034579268,7.881773399,11,0.001798941,0.011886623,2.709359606,34.375
akt1,34861-00,354672,27504,675,0.190316687,2.454188482,183,0.051596968,0.665357766,27.11111111,133,0.037499436,0.483566027,19.7037037,72.67759563,43,0.012123878,0.156340896,6.37037037,23,0.006484865,0.0836242,3.407407407,53.48837209
akt1,34862-10,519103,42836,188,0.036216319,0.438883182,39,0.00751296,0.091044915,20.74468085,34,0.00654976,0.07937249,18.08510638,87.17948718,65,0.0125216,0.151741526,34.57446809,46,0.00886144,0.107386311,24.46808511,70.76923077
akt1,34863-00,911379,140508,202,0.022164215,0.143764056,66,0.007241773,0.046972414,32.67326733,29,0.003181991,0.020639394,14.35643564,43.93939394,78,0.008558459,0.055512853,38.61386139,24,,0.017080878,11.88118812,30.76923077
akt1,34868-00,107202,77197,3644,3.399190314,4.720390689,2889,2.694912408,3.742373408,79.28100988,2412,2.249958023,3.124473749,66.1909989,83.48909657,121,0.112871029,0.156741842,3.320526894,96,0.089550568,0.124357164,2.634467618,79.33884298
akt1,34869-00,72249,5940,84,0.116264585,1.414141414,29,0.040138964,0.488215488,34.52380952,11,0.015225124,0.185185185,13.0952381,37.93103448,5,0.006920511,0.084175084,5.952380952,0,0,0,0,0
akt1,34870-03,561062,61556,1331,0.237228684,2.162258756,290,0.051687692,0.471115732,21.78812923,171,0.030477915,0.277795828,12.8474831,58.96551724,145,0.025843846,0.235557866,10.89406461,77,0.013723973,0.12508935,5.785123967,53.10344828
akt1,34871-00,610551,42529,431,0.070591973,1.013426133,217,0.035541666,0.510240071,50.34802784,80,0.013102919,0.188106939,18.56148492,36.86635945,49,0.008025538,0.1152155,11.36890951,14,0.002293011,0.032918714,3.248259861,28.57142857
akt1,34864-00,630624,100601,12039,1.909061501,11.96707786,4478,0.710090323,4.451248,37.19578038,2873,0.455580504,2.855836423,23.86410831,64.1581063,786,0.124638453,0.781304361,6.52878146,632,0.100218197,0.628224372,5.249605449,80.40712468
k454r,34846-00,342838,46267,3818,1.113645512,8.25210193,655,0.191052334,1.415695852,17.15557884,19,0.005541976,0.041065987,0.497642745,2.900763359,212,0.061836786,0.458209955,5.552645364,8,0.002333464,0.017290942,0.209533787,3.773584906
k454r,34850-10,910470,92514,973,0.106867881,1.051732711,729,0.080068536,0.787988845,74.92291881,110,0.012081672,0.118900923,11.30524152,15.08916324,109,0.011971839,0.117820006,11.2024666,28,0.003075335,0.03026569,2.877697842,25.68807339
k454r,34851-00,341573,19650,1289,0.377371748,6.559796438,117,0.034253293,0.595419847,9.076803724,5,0.001463816,0.025445293,0.387897595,4.273504274,39,0.011417764,0.198473282,3.025601241,1,0.000292763,0.005089059,0.077579519,2.564102564
